MTH,KAM_POC,REST_ID,BRAND_NAME,BUSINESS_ENTITY,CLASSIFIER,CITY,CITY_CLASSIFICATION,CPV_IMPRESSION,CPV_CLICK,CPV_ORDER,CPV_GMV,CPV_REVENUE
2025-07,Akash Chhawchharia,289275,BOX8_-_Desi_Meals,Eatclub_Brands_Private_Limited,Nat_Core,Bangalore,India_1,4516,25,17,7401.512527466,451.6
2025-07,Akash Chhawchharia,919144,Daily_Kitchen_Homestyle_Meals,Eatclub_Brands_Private_Limited,Nat_Core,Delhi,India_1,7464,42,1,517.400024414,746.4
2025-07,Akash Chhawchharia,699289,WeFit-Bowls_Salads_and_Sandwiches,Eatclub_Brands_Private_Limited,Nat_Core,Noida 1,India_1,1366,7,2,916.750488281,136.6
2025-07,Akash Chhawchharia,1007681,LunchBox,Rebel_Foods_Pvt_Ltd,Nat_Core,Jammu,India_2,11662,579,1,327.87600708,1166.2
2025-07,Akash Chhawchharia,952749,BOX8_-_Desi_Meals,Eatclub_Brands_Private_Limited,Nat_Core,Mumbai,India_1,985,10,1,344.649993896,98.5
2025-07,Akash Chhawchharia,750410,Daily_Kitchen_Homestyle_Meals,Eatclub_Brands_Private_Limited,Nat_Core,Hyderabad,India_1,1535,8,2,1394.350036621,153.5
2025-07,Akash Chhawchharia,979686,WeFit-Bowls_Salads_and_Sandwiches,Eatclub_Brands_Private_Limited,Nat_Core,Delhi,India_1,9652,38,,,965.2
2025-07,Akash Chhawchharia,679910,MOJO_Pizza-2X_Toppings,Eatclub_Brands_Private_Limited,Nat_Core,Mumbai,India_1,2247,14,6,3196.800476074,224.7
2025-07,Akash Chhawchharia,699283,BOX8_-_Desi_Meals,Eatclub_Brands_Private_Limited,Nat_Core,Noida 1,India_1,1837,10,8,3099.095947266,183.7
2025-07,Akash Chhawchharia,390993,ZAZA_Mughal_Biryani,Eatclub_Brands_Private_Limited,Nat_Core,Bangalore,India_1,1194,4,3,955.475021362,119.4
2025-07,Akash Chhawchharia,868335,NH1_Bowls-Highway_To_North,Eatclub_Brands_Private_Limited,Nat_Core,Mumbai,India_1,459,0,,,45.9
2025-07,Akash Chhawchharia,263777,Immunity_Booster_Meals_By_Lunchbox,Rebel_Foods_Pvt_Ltd,Nat_Core,Bangalore,India_1,51,0,,,5.1
2025-07,Akash Chhawchharia,263589,Immunity_Booster_Meals_By_Lunchbox,Rebel_Foods_Pvt_Ltd,Nat_Core,Mumbai,India_1,241,0,,,24.1
2025-07,Akash Chhawchharia,643730,WeFit-Bowls_Salads_and_Sandwiches,Eatclub_Brands_Private_Limited,Nat_Core,Pune,India_1,2386,15,3,1263.650054932,238.6
2025-07,Akash Chhawchharia,819503,BOX8_-_Desi_Meals,Eatclub_Brands_Private_Limited,Nat_Core,Bangalore,India_1,3258,13,8,2818.05090332,325.8
2025-07,Akash Chhawchharia,263619,Immunity_Booster_Meals_By_Lunchbox,Rebel_Foods_Pvt_Ltd,Nat_Core,Chennai,India_1,671,1,,,67.1
2025-07,Akash Chhawchharia,750308,Daily_Kitchen_Homestyle_Meals,Eatclub_Brands_Private_Limited,Nat_Core,Pune,India_1,476,6,1,239.675003052,47.6
2025-07,Akash Chhawchharia,681501,LeanCrust_Pizza,Eatclub_Brands_Private_Limited,Nat_Core,Pune,India_1,4159,14,2,1143.350952148,415.9
2025-07,Akash Chhawchharia,1014644,Immunity_Booster_Meals_By_Lunchbox,Rebel_Foods_Pvt_Ltd,Nat_Core,Ranchi,India_2,544,8,,,54.4
2025-07,Akash Chhawchharia,535537,NH1_Bowls-Highway_To_North,Eatclub_Brands_Private_Limited,Nat_Core,Hyderabad,India_1,2392,5,2,626.700012207,239.2
2025-07,Akash Chhawchharia,750365,Daily_Kitchen_Homestyle_Meals,Eatclub_Brands_Private_Limited,Nat_Core,Mumbai,India_1,1120,14,3,1314.825042725,112
2025-07,Akash Chhawchharia,492420,Immunity_Booster_Meals_By_Lunchbox,Rebel_Foods_Pvt_Ltd,Nat_Core,Patna,India_2,1587,37,1,360.350006104,158.7
2025-07,Akash Chhawchharia,952830,NH1_Bowls-Highway_To_North,Eatclub_Brands_Private_Limited,Nat_Core,Delhi,India_1,4691,16,1,509.600006104,469.1
2025-07,Akash Chhawchharia,681441,LeanCrust_Pizza,Eatclub_Brands_Private_Limited,Nat_Core,Bangalore,India_1,4198,10,11,4155.765548706,419.8
2025-07,Akash Chhawchharia,622127,MOJO_Pizza-2X_Toppings,Eatclub_Brands_Private_Limited,Nat_Core,Hyderabad,India_1,5733,22,5,1925.675033569,573.3
2025-07,Akash Chhawchharia,708366,BOX8_-_Desi_Meals,Eatclub_Brands_Private_Limited,Nat_Core,Kolkata,India_1,5233,48,14,7371.10345459,523.3
2025-07,Akash Chhawchharia,449534,BOX8_-_Desi_Meals,Eatclub_Brands_Private_Limited,Nat_Core,Noida,India_1,7482,47,8,3695.250488281,748.2
2025-07,Akash Chhawchharia,263644,Immunity_Booster_Meals_By_Lunchbox,Rebel_Foods_Pvt_Ltd,Nat_Core,Mumbai,India_1,510,5,,,51
2025-07,Akash Chhawchharia,62918,LunchBox,Rebel_Foods_Pvt_Ltd,Nat_Core,Bangalore,India_1,153,1,,,15.3
2025-07,Akash Chhawchharia,1011702,BOX8_-_Desi_Meals,Eatclub_Brands_Private_Limited,Nat_Core,Bangalore,India_1,743,10,,,74.3
2025-07,Akash Chhawchharia,708387,MOJO_Pizza-2X_Toppings,Eatclub_Brands_Private_Limited,Nat_Core,Kolkata,India_1,2996,26,5,1903.450515747,299.6
2025-07,Akash Chhawchharia,391103,ZAZA_Mughal_Biryani,Eatclub_Brands_Private_Limited,Nat_Core,Bangalore,India_1,897,7,,,89.7
2025-07,Akash Chhawchharia,622083,MOJO_Pizza-2X_Toppings,Eatclub_Brands_Private_Limited,Nat_Core,Mumbai,India_1,1489,8,4,1594.525466919,148.9
2025-07,Akash Chhawchharia,1039573,ZAZA_Mughal_Biryani,Eatclub_Brands_Private_Limited,Nat_Core,Noida,India_1,2150,11,2,1666.899993896,215
2025-07,Akash Chhawchharia,263671,Immunity_Booster_Meals_By_Lunchbox,Rebel_Foods_Pvt_Ltd,Nat_Core,Pune,India_1,446,5,,,44.6
2025-07,Akash Chhawchharia,390153,NH1_Bowls-Highway_To_North,Eatclub_Brands_Private_Limited,Nat_Core,Delhi,India_1,13352,52,8,3246.000061035,1335.2
2025-07,Akash Chhawchharia,750228,Daily_Kitchen_Homestyle_Meals,Eatclub_Brands_Private_Limited,Nat_Core,Bangalore,India_1,1137,4,,,113.7
2025-07,Akash Chhawchharia,643721,WeFit-Bowls_Salads_and_Sandwiches,Eatclub_Brands_Private_Limited,Nat_Core,Mumbai,India_1,1669,3,,,166.9
2025-07,Akash Chhawchharia,643747,WeFit-Bowls_Salads_and_Sandwiches,Eatclub_Brands_Private_Limited,Nat_Core,Pune,India_1,867,4,,,86.7
2025-07,Akash Chhawchharia,750354,Daily_Kitchen_Homestyle_Meals,Eatclub_Brands_Private_Limited,Nat_Core,Bangalore,India_1,1577,5,2,707.100006104,157.7
2025-07,Akash Chhawchharia,681652,LeanCrust_Pizza,Eatclub_Brands_Private_Limited,Nat_Core,Delhi,India_1,3702,19,2,1226.050048828,370.2
2025-07,Akash Chhawchharia,390150,NH1_Bowls-Highway_To_North,Eatclub_Brands_Private_Limited,Nat_Core,Pune,India_1,522,1,1,685.050476074,52.2
2025-07,Akash Chhawchharia,643740,WeFit-Bowls_Salads_and_Sandwiches,Eatclub_Brands_Private_Limited,Nat_Core,Pune,India_1,883,2,1,744.66998291,88.3
2025-07,Akash Chhawchharia,971552,NH1_Bowls-Highway_To_North,Eatclub_Brands_Private_Limited,Nat_Core,Mumbai,India_1,599,2,,,59.9
2025-07,Akash Chhawchharia,750220,Daily_Kitchen_Homestyle_Meals,Eatclub_Brands_Private_Limited,Nat_Core,Bangalore,India_1,2608,9,1,344.650024414,260.8
2025-07,Akash Chhawchharia,681477,LeanCrust_Pizza,Eatclub_Brands_Private_Limited,Nat_Core,Mumbai,India_1,618,2,,,61.8
2025-07,Akash Chhawchharia,750407,Daily_Kitchen_Homestyle_Meals,Eatclub_Brands_Private_Limited,Nat_Core,Noida 1,India_1,3318,35,4,1556.250030518,331.8
2025-07,Akash Chhawchharia,681662,LeanCrust_Pizza,Eatclub_Brands_Private_Limited,Nat_Core,Chennai,India_1,8912,28,16,7670.791442871,891.2
2025-07,Akash Chhawchharia,622235,MOJO_Pizza-2X_Toppings,Eatclub_Brands_Private_Limited,Nat_Core,Mumbai,India_1,1881,20,9,8628.745849609,188.1
2025-07,Akash Chhawchharia,1053422,BOX8_-_Desi_Meals,Eatclub_Brands_Private_Limited,Nat_Core,Bangalore,India_1,2012,18,4,1762.379516602,201.2
2025-07,Akash Chhawchharia,1039553,Daily_Kitchen_Homestyle_Meals,Eatclub_Brands_Private_Limited,Nat_Core,Delhi,India_1,2970,26,4,1006.110015869,297
2025-07,Akash Chhawchharia,987349,WeFit-Bowls_Salads_and_Sandwiches,Eatclub_Brands_Private_Limited,Nat_Core,Gurgaon,India_1,2355,14,,,235.5
2025-07,Akash Chhawchharia,427146,LunchBox,Rebel_Foods_Pvt_Ltd,Nat_Core,Nellore,India_2,1189,12,5,1304.890029907,118.9
2025-07,Akash Chhawchharia,622130,MOJO_Pizza-2X_Toppings,Eatclub_Brands_Private_Limited,Nat_Core,Mumbai,India_1,1245,8,3,1373.550994873,124.5
2025-07,Akash Chhawchharia,210910,LunchBox,Rebel_Foods_Pvt_Ltd,Nat_Core,Chandigarh,India_1,9401,62,4,1114.525039673,940.1
2025-07,Akash Chhawchharia,750401,Daily_Kitchen_Homestyle_Meals,Eatclub_Brands_Private_Limited,Nat_Core,Mumbai,India_1,670,5,4,1803.124984741,67
2025-07,Akash Chhawchharia,681514,LeanCrust_Pizza,Eatclub_Brands_Private_Limited,Nat_Core,Pune,India_1,1269,1,5,1854.420013428,126.9
2025-07,Akash Chhawchharia,62867,LunchBox,Rebel_Foods_Pvt_Ltd,Nat_Core,Hyderabad,India_1,734,7,,,73.4
2025-07,Akash Chhawchharia,391031,ZAZA_Mughal_Biryani,Eatclub_Brands_Private_Limited,Nat_Core,Mumbai,India_1,1013,3,1,239.675003052,101.3
2025-07,Akash Chhawchharia,238591,LunchBox,Rebel_Foods_Pvt_Ltd,Nat_Core,Lucknow,India_1,433,3,1,454.67199707,43.3
2025-07,Akash Chhawchharia,643719,WeFit-Bowls_Salads_and_Sandwiches,Eatclub_Brands_Private_Limited,Nat_Core,Mumbai,India_1,1014,7,,,101.4
2025-07,Akash Chhawchharia,643869,WeFit-Bowls_Salads_and_Sandwiches,Eatclub_Brands_Private_Limited,Nat_Core,Bangalore,India_1,2177,10,3,941.450012207,217.7
2025-07,Akash Chhawchharia,390059,NH1_Bowls-Highway_To_North,Eatclub_Brands_Private_Limited,Nat_Core,Bangalore,India_1,2039,10,5,2287.000030518,203.9
